#of artifacts,artifact trend,perf. as reviewer,avg. quality of reviewer ,author's cummulated quality,duration(days),complexity,consistency in load,consistency in quality,total defects count
3,2,0,1383,0.02637486,3.333333333,5.5,0.073170732,0.581560284,27
1,1,0,1230,0,48,0,0.024390244,41,37
1,0,0,301,0.026384731,0,2.5,0.024390244,0.581560284,0
2,2,0,86,0,0,0,1,2,0
3,0,0,1080.333333,0.006678889,12,4.5,0.2,0.588235294,7
3,3,0,1325.333333,0,39.66666667,4.5,0.2,15,12
3,0,0,1203,0.006025675,7,4.5,0.2,0.652173913,7
3,0,0,1304.333333,0.007986384,12,4.5,0.2,0.491803279,13
3,0,0,1325.333333,0.001310273,42,4.5,0.2,3,20
2,0,0,1862,0.009647329,14,3,0.037735849,0.701986755,5
10,6,0,1862.7,0.008819018,26.2,15,0.188679245,0.768115942,39
6,5,0,1864.5,0.007033248,14.83333333,9,0.113207547,0.963636364,25
1,-1,0,1815,0.006074946,20,1.5,0.018867925,1.115789474,3
1,1,0,1517,0,53,0,0.018867925,53,0
2,1,0,1517,0.004796623,82.5,0,0.037735849,1.413333333,4
3,0,0,1914,0.008309895,7,4.5,0.056603774,0.815384615,0
1,0,0,1020,0,17,0,0.018867925,53,9
3,-3,17.5,1914,0.007799514,5.666666667,4.5,0.056603774,0.868852459,2
1,0,0,1020,0.002238711,26,0,0.018867925,3.028571429,8
17,15,0,1828.823529,0.010029385,11.64705882,25.5,0.320754717,0.675159236,19
4,1,0,1914,0.008308833,13,6,0.075471698,0.815384615,7
2,-8,0,1862,0.009265176,9,3,0.037735849,0.731034483,7
1,1,0,374,0,11,0,1,1,2
1,-2,0,964,0.010017422,5,0,0.043478261,1,0
1,-2,0,964,0.00349345,0,0,0.043478261,2.875,0
2,1,0,964,0.006759703,4,0,0.086956522,1.483870968,3
3,2,0,964,0.003494976,16.33333333,0,0.130434783,2.875,2
1,0,0,964,0.000437063,6,0,0.043478261,23,5
1,1,0,964,0,5,0,0.043478261,23,1
1,-1,0,964,0.00043802,1,0,0.043478261,23,0
1,-1,0,964,0.000437254,24,0,0.043478261,23,0
2,1,0,964,0.000437445,0.5,0,0.086956522,23,0
1,0,0,964,0.000437828,7,0,0.043478261,23,0
3,2,0,964,0.008714597,4,0,0.130434783,1.15,6
1,0,0,964,0.006108202,11,0,0.043478261,1.642857143,1
1,0,0,964,0.003491925,22,0,0.043478261,2.875,4
1,0,0,964,0.000437637,7,0,0.043478261,23,0
2,1,0,964,0.000438212,3,0,0.086956522,23,0
1,-1,0,964,0.008064516,5,0,0.043478261,1.243243243,1
7,-4,38,1583.714286,0.267810026,8.714285714,10.5,0.086419753,0.798029557,18
2,1,0,1073,0.106382979,14,3,0.024691358,2.025,8
20,20,12.5,53.8,0,47.95,30,0.24691358,81,0
10,9,0,1912,0.038978495,10.5,15,0.12345679,5.586206897,40
1,0,0,1912,0.014824798,43,1.5,0.012345679,14.72727273,6
8,-2,41,1466.5,0.04691689,55.875,12,0.098765432,4.628571429,23
11,7,100.5,1674.727273,0.242063492,18.90909091,16.5,0.135802469,0.885245902,51
16,8,51,1511.6875,0.069518717,49.0625,24,0.197530864,3.115384615,82
1,-19,0,1912,0,24,1.5,0.012345679,81,3
1,-15,0,1642,0.077333333,5,1.5,0.012345679,2.793103448,7
4,2,29.5,1642,0.125994695,37.25,6,0.049382716,1.705263158,35
1,0,0,176,0,14,0,0.333333333,3,0
1,0,0,157,0,30,0,0.333333333,3,0
1,1,0,157,0,42,0,0.333333333,3,0
3,3,0,81,0,1.666666667,4.5,1,3,0
2,2,0,1865,0,7,0,0.4,5,7
1,-1,0,1865,0.00464684,14,0,0.2,0.666666667,4
1,0,0,1865,0.009282178,14,0,0.2,0.333333333,6
1,0,2.5,380,0.009287926,75,0,0.2,0.333333333,0
14,14,0,1326.142857,0,13.92857143,14,0.518518519,27,21
13,-1,0,1426.230769,0.000961307,8.769230769,16,0.481481481,6.75,6
1,-1,0,338,0.002594689,1,1,0.03030303,0.857142857,0
4,0,0,1561,0.002190765,2.5,4,0.121212121,1.015384615,1
3,0,14,1209,0.001449471,1,3,0.090909091,1.534883721,1
3,1,0,1209,0.000943905,1.666666667,3,0.090909091,2.357142857,6
2,0,17,1209,0.00030348,0.5,2,0.060606061,7.333333333,4
2,0,5.5,338,0.002426367,1,2,0.060606061,0.916666667,1
1,-4,3.5,1209,0.000404585,0,1,0.03030303,5.5,0
4,1,0,1062,0.001449373,3.5,4,0.121212121,1.534883721,6
2,1,4.5,914,0.000404558,1,2,0.060606061,5.5,6
2,1,5,1232,0.002594514,1,2,0.060606061,0.857142857,13
2,2,0,1209,0,1.5,2,0.060606061,33,5
5,3,17,1113.8,0.000404613,2.4,5,0.151515152,5.5,2
2,-2,5.5,338,0.002258021,1.5,2,0.060606061,0.985074627,1
1,-1,8.5,1608,0.025665075,3,1,0.028571429,0.23255814,4
5,-1,0,1599,0.004779788,4.2,5,0.142857143,1.25,21
6,4,41,1540.666667,0.004097661,2.833333333,6,0.171428571,1.458333333,25
2,-3,0,1450.5,0.004098361,0,2,0.057142857,1.458333333,2
2,2,0,1437,0,13,2,0.057142857,35,5
2,0,81,1816,0.008959044,16,2,0.057142857,0.666666667,69
2,-2,16.5,1265.5,0.025157769,12,2,0.057142857,0.237288136,3
1,-1,17.5,1608,0.01825627,0,1.5,0.028571429,0.327102804,8
2,-3,39,1531,0.005888377,28.5,3,0.057142857,1.014492754,34
5,3,0,1602,0.003159693,4.4,5,0.142857143,1.891891892,40
1,0,6,1608,0.026683717,7,1,0.028571429,0.223642173,4
2,0,17,1115.5,0.001110352,0.5,2,0.057142857,5.384615385,13
4,3,76.5,1557.5,0.02132378,7.75,4,0.114285714,0.28,18
1,1,33,1067,0,5,1.5,0.125,8,1
4,1,12.5,908.75,0.030487805,6.5,6,0.5,1.066666667,4
3,2,16,910,0.010204082,17.66666667,4.5,0.375,3.2,4
10,10,20.5,1076.5,0,1.6,25,0.322580645,31,10
5,-1,18,1300,0.000375626,22,12.5,0.161290323,6.888888889,22
6,-4,28.5,827.6666667,0,1.833333333,15,0.193548387,31,49
10,0,5,1012.2,0,3.3,25,0.322580645,31,39
1,1,0,481,0,0,1.5,0.058823529,17,0
4,3,0,481,8.38E-05,1.25,6,0.235294118,17,0
4,2,0,609.5,8.38E-05,0.25,6,0.235294118,17,1
1,0,0,481,8.39E-05,3,1.5,0.058823529,17,0
1,-3,2.5,481,8.38E-05,1,1.5,0.058823529,17,0
1,0,0,481,8.38E-05,1,1.5,0.058823529,17,0
1,0,0,481,8.38E-05,0,1.5,0.058823529,17,0
2,1,0,523.5,8.38E-05,0,3,0.117647059,17,0
1,0,7,481,0,2,1.5,0.058823529,17,1
1,0,0,533,8.38E-05,0,1.5,0.058823529,17,0
1,1,0,170,0,23,0,1,1,0
1,1,0,1569,0,16,0,0.142857143,7,4
1,0,61.5,980,0.000301682,8,0,0.142857143,1.75,2
1,0,0,1312,0.000490196,13,0,0.142857143,1.076923077,10
3,2,19.5,680,0.002111295,9,0,0.428571429,0.25,7
1,0,0,800,0.001809818,4,0,0.142857143,0.291666667,4
1,1,0,1906,0,35,2.5,1,1,3
12,-28,16,1662.5,0.025965379,13.33333333,0,0.094488189,0.592074592,10
11,8,0,1816.090909,0.011389798,5.818181818,0,0.086614173,1.35106383,16
3,0,0,1298.666667,0.025974812,4.333333333,0,0.023622047,0.592074592,0
3,-7,0,1787.666667,0.009331071,11.66666667,0,0.023622047,1.649350649,40
10,5,0,1751,0.009029209,12.2,0,0.078740157,1.704697987,33
5,3,0,1877,0.008848485,10.2,0,0.039370079,1.739726027,9
2,1,0,1497,0.003091284,5,0,0.015748031,4.980392157,33
1,1,0,1877,0,17,0,0.007874016,127,16
2,-3,0,1877,0.013385827,5,0,0.015748031,1.149321267,32
40,14,7.5,1772.225,0.025968523,9.825,0,0.31496063,0.592074592,7
4,2,0,1810,0.021136143,8.5,0,0.031496063,0.727793696,14
5,-6,12.5,1796.6,0.011751878,10.2,0,0.039370079,1.309278351,22
3,-1,0,1787.666667,0.021557466,7,0,0.023622047,0.713483146,49
26,23,9,1646.269231,0.025971667,7.961538462,0,0.204724409,0.592074592,11
4,2,0,1793,0.002011314,66.5,10,0.19047619,0.65625,15
5,3,0,1777.8,0,29.2,12.5,0.238095238,21,32
2,-1,0,1774,0,35,5,0.095238095,21,5
3,3,0,1780.333333,0,7.666666667,7.5,0.142857143,21,21
3,2,0,1780.333333,0.000880116,23.66666667,7.5,0.142857143,1.5,28
1,-4,0,1755,0.000880171,0,2.5,0.047619048,1.5,0
1,-2,0,1793,0.001540106,13,2.5,0.047619048,0.857142857,4
2,1,0,1793,0.00201144,57.5,5,0.095238095,0.65625,0
5,1,222.5,1311,0.000859951,4.4,7.5,0.555555556,2.571428571,18
4,4,13,1607,0,3,6,0.444444444,9,12
3,2,0,1565.666667,0.013918487,91,2,0.25,0.114832536,103
1,-1,0,1651,0.000133209,28,0,0.083333333,12,49
2,-4,0,1019,0,1,0,0.166666667,12,1
6,6,0,1370.333333,0,12.16666667,0,0.5,12,0
3,-7,0,1267.666667,0.000186081,0.333333333,5,0.071428571,28,0
5,2,0,525.6,0,12.6,9.5,0.119047619,42,4
10,2,0,801.4,0.000186104,0,13,0.238095238,28,0
3,3,0,702.6666667,0,4.333333333,3,0.071428571,42,1
11,6,0,851.3636364,0.000186174,13.54545455,24.5,0.261904762,28,5
8,6,0,514.25,0.000186127,3.5,8,0.19047619,28,3
2,-9,12.5,1006,0.00018615,7,3.5,0.047619048,28,0
4,3,0,1512.5,0.090840841,79.5,2,0.173913043,0.076033058,20
2,1,0,1820,0.086388221,18.5,0,0.086956522,0.08,7
1,-5,0,1953,0.023745116,56,0,0.043478261,0.291139241,130
6,3,0,1159.833333,0.002254961,8,2.5,0.260869565,3.066666667,134
4,4,0,1780,0,48.5,1,0.173913043,23,7
1,-1,0,1820,0.089516371,17,0,0.043478261,0.077181208,3
2,-2,0,1820,0.097268088,9.5,2.5,0.086956522,0.070987654,19
3,-1,0,1780,0.002255639,6,2,0.130434783,3.066666667,0
3,2,0,1537.333333,0.016316171,0.666666667,6,0.026086957,5.111111111,0
6,-3,0,1102.666667,0.015250545,1.666666667,9,0.052173913,5.476190476,13
7,4,0,530,0.008727273,6.714285714,17.5,0.060869565,9.583333333,7
9,9,3,1357.555556,0,0.666666667,13.5,0.07826087,115,10
3,-17,0,530,0.008733624,7,7.5,0.026086957,9.583333333,0
4,-5,0,1356,0.002921841,8.25,6,0.034782609,28.75,0
20,16,0,1207.9,0.007647487,4.6,36.5,0.173913043,10.95238095,13
9,-1,7.5,781.5555556,0.002923977,3.444444444,13.5,0.07826087,28.75,1
15,11,0,891.3333333,0.002919708,3.466666667,22.5,0.130434783,28.75,3
9,2,24.5,1524.222222,0.011991279,2.333333333,18.5,0.07826087,6.96969697,40
4,-7,0,1418.5,0.002915452,3.25,9,0.034782609,28.75,4
4,1,0,1496.25,0.016304348,5.25,10,0.034782609,5.111111111,9
10,1,0,1274.7,0.002926116,5.5,15,0.086956522,28.75,5
11,-4,3,1574.909091,0.002917578,1.090909091,16.5,0.095652174,28.75,13
1,-5,0,1246,0.016328012,0,2.5,0.008695652,5.111111111,0
3,2,0,1903,0.145659929,52.33333333,0,0.142857143,0.034285714,13
2,0,46,1896,0.101737268,12,0,0.095238095,0.049122807,74
1,1,0,1736,0,9,0,0.047619048,21,18
2,1,0,1896,0.090811711,10,0,0.095238095,0.055045872,60
1,0,36,1612,0.09047619,7,0,0.047619048,0.055263158,1
1,0,20,1644,0.085615623,11,0,0.047619048,0.058414465,11
1,0,0,1612,0.07170081,15,0,0.047619048,0.069767442,30
1,0,0,1855,0.034803337,8,0,0.047619048,0.143835616,25
2,0,0,1890,0.123959077,14.5,0,0.095238095,0.040307102,13
1,0,0,595,0.066356922,19,0,0.047619048,0.07540395,15
3,0,0,1848,0.145863053,5,0,0.142857143,0.034229829,41
1,-1,0,1890,0.129400571,16,0,0.047619048,0.038602941,31
1,0,0,1736,0.008106819,15,0,0.047619048,0.617647059,58
1,0,0,1612,0.043732126,13,0,0.047619048,0.114441417,48
1,-1,0,1948,0.001158993,124,0,0.058823529,1.545454545,1
3,3,1.5,1327,0,5.666666667,1,0.176470588,17,2
3,-1,0,1125.666667,0.000632311,2,4,0.176470588,2.833333333,4
4,0,0,1176,0.000105396,1.75,4,0.235294118,17,3
2,-1,0,1025,0.001159115,2,2,0.117647059,1.545454545,5
4,1,0,1327,0.000105407,3.5,5.5,0.235294118,17,4
1,1,25.5,935,0,1,0,0.058823529,17,0
3,1,0,1523.666667,0,1.333333333,0,0.176470588,17,0
2,-2,1,1647,0.000362869,3.5,0,0.117647059,3.090909091,1
4,2,8.5,1642.75,0.000197941,0.25,0,0.235294118,5.666666667,2
2,1,0,1005,0,0,0,0.117647059,17,0
1,0,7.5,912,0,1,0,0.058823529,17,0
2,1,24.5,912,0,3,0,0.117647059,17,2
1,0,0,1494,0,0,0,0.058823529,17,0
1,-2,0,1494,0,0,0,0.058823529,17,0
2,2,0,1356,0,23,3,0.5,4,22
1,-1,0,900,0.00536193,8,0,0.25,0.2,6
1,0,0,1258,0.008174752,8,0,0.25,0.131147541,0
2,-3,1.5,1227.5,0.009577864,25.5,2,0.05,0.49382716,3
3,1,36.5,1540.666667,0.014241815,50,3,0.075,0.331950207,12
1,1,0,1165,0,7,1.5,0.025,40,3
5,3,1.5,1414,0.009578997,6.8,5,0.125,0.49382716,20
2,1,0,1808,0.00112426,7.5,3,0.05,4.210526316,13
2,-3,2.5,1611,0.008633944,13,2,0.05,0.547945205,13
1,0,0,1808,0.000650965,6,1.5,0.025,7.272727273,3
2,0,108,1808,0.002721571,0.5,3,0.05,1.739130435,7
3,-1,0,1331,0.010639556,17.66666667,2.5,0.075,0.444444444,5
3,2,0,1342,0.004022241,5.666666667,3,0.075,1.176470588,10
1,-1,67,1496,0.015833629,10,0,0.025,0.298507463,16
1,-1,0,1414,0.003017037,13,1,0.025,1.568627451,6
4,2,6,1479,0.009754079,28.25,4,0.1,0.484848485,17
5,2,4.5,1277.8,0.005677786,4.2,5.5,0.125,0.833333333,27
1,0,15,1471,0.018667297,5,1,0.025,0.253164557,9
2,-1,0,1197,0.010992908,31.5,2,0.05,0.430107527,18
2,-1,8.5,1496,0.0158355,3,0,0.05,0.298507463,1
4,1,72,1710.25,0.001960784,17.25,6,0.06557377,1.967741935,22
6,5,46,1869.333333,0.001138952,8,9,0.098360656,3.388888889,14
2,1,11,1870,0.001802999,5,2,0.032786885,2.140350877,3
1,-2,96.5,1830,0.001044106,9,1,0.016393443,3.696969697,1
5,5,47,1656.6,0,6.2,7.5,0.081967213,61,34
3,-2,11,1830,0.000949247,6,4,0.049180328,4.066666667,1
2,-3,0,1892,9.50E-05,22,2.5,0.032786885,40.66666667,3
5,2,71.5,1593,0.000949307,1.8,0,0.081967213,4.066666667,37
3,1,9.5,1830,0.000949367,5.333333333,4,0.049180328,4.066666667,0
5,1,37,1853.6,0,34,6,0.081967213,61,8
4,2,183.5,1846.75,0.000411523,4.5,5,0.06557377,9.384615385,9
1,-1,0,1953,0.001328609,39,1.5,0.016393443,2.904761905,6
2,0,0,1880.5,0.000949487,15,3,0.032786885,4.066666667,4
3,2,1,1908.666667,0.001960908,13,4.5,0.049180328,1.967741935,4
2,-2,53.5,1526,0.000569728,5,2.5,0.032786885,6.777777778,4
2,-4,3.5,1830,0.001328693,1.5,2.5,0.032786885,2.904761905,16
2,0,138.5,1830,0.000949427,4,2.5,0.032786885,4.066666667,3
4,-1,5,1863.5,0,4.75,5.5,0.06557377,61,0
4,0,29.5,1861,0.000506457,4.5,5,0.06557377,7.625,2
1,-1,29,1830,0.001802885,15,1.5,0.016393443,2.140350877,2
1,1,0,1805,0,97,1.5,0.333333333,3,5
2,1,274.5,1804.5,0.00117096,124.5,3,0.666666667,0.375,16
15,14,5,933.6666667,0.009274874,17.13333333,15,0.101351351,26.90909091,6
3,1,0,1197,0.048494983,33,5.5,0.02027027,5.103448276,0
1,-1,0,953,0.009290541,3,1,0.006756757,26.90909091,0
2,-11,0,816,0.009306261,1,2,0.013513514,26.90909091,0
7,7,0,655.5714286,0,0.714285714,16.5,0.047297297,148,0
13,8,1.5,1060.615385,0.009322034,2,27.5,0.087837838,26.90909091,6
8,0,1,918.375,0,12.5,11,0.054054054,148,6
5,-12,0,623,0.009337861,0.8,8,0.033783784,26.90909091,0
17,-6,0,929.1176471,0.009353741,3.941176471,17,0.114864865,26.90909091,3
8,0,0,1003,0,11.875,18.5,0.054054054,148,4
12,4,2,794.8333333,0.005136986,11.5,24,0.081081081,49.33333333,8
8,4,2,1040.125,0.013445378,14.25,14,0.054054054,18.5,24
8,6,3,982.25,0.006825939,1.125,9.5,0.054054054,37,0
2,-6,0,1027.5,0.048657718,31.5,3,0.013513514,5.103448276,0
4,-11,0,828.25,0.009259259,3,4,0.027027027,26.90909091,5
23,15,0,904.5217391,0.00681431,6.695652174,26,0.155405405,37,7
8,1,4,925.625,0,8.375,14,0.054054054,148,1
2,0,0,1102,0.048576214,46.5,3,0.013513514,5.103448276,1
2,-10,0,1416.5,0.006837607,11,5,0.013513514,37,2
2,2,0,1627,0,5,5,0.25,8,6
1,0,0,1883,0.054772234,71,2.5,0.125,0.052805281,10
1,-2,0,1072,0.030198915,24,2.5,0.125,0.095808383,46
3,2,54,1072,0.029124457,15,7.5,0.375,0.099378882,16
1,-1,430,1589,0.001809627,8,2.5,0.125,1.6,39
2,0,0,1899,0.002320469,13,0,0.142857143,0.49122807,2
2,-4,0,1899,0.002117091,21.5,0,0.142857143,0.538461538,12
6,4,0,1899,0.002117264,24.33333333,0,0.428571429,0.538461538,1
2,2,0,1899,0,27.5,0,0.142857143,14,22
2,0,0,1325,0.0024424,682.5,0,0.142857143,0.466666667,0
3,-3,1.5,1704,0.004907007,65,4.5,0.076923077,0.545454545,15
5,3,51,1757.8,0.001475837,22,7.5,0.128205128,1.813953488,59
2,0,1,1723.5,0.001269994,1.5,5,0.051282051,2.108108108,2
2,-7,0,1864,0.000514898,1,5,0.051282051,5.2,9
1,-4,2.5,1864,0.000102994,24,2.5,0.025641026,26,1
6,0,15.5,1704,0.003157172,20.16666667,9,0.153846154,0.847826087,44
5,5,52,1768.2,0,5.4,12.5,0.128205128,39,6
9,8,232.5,1900,0.000205973,19.11111111,22.5,0.230769231,13,32
6,1,0,1730.666667,0.002368042,33.16666667,9,0.153846154,1.130434783,64
2,0,3.5,649,0,3.5,3,0.5,4,0
2,2,0,649,0,3,3,0.5,4,1
3,3,0,1356,0,1.666666667,4.5,1,3,0
1,-14,0,1424,0.001809136,6,1.5,0.018181818,6.875,0
3,1,0,1281,0.001470588,15.66666667,4.5,0.054545455,8.461538462,0
7,7,0,855,0,6.857142857,10.5,0.127272727,55,1
9,4,1.5,1041.222222,0.000452796,12.88888889,13.5,0.163636364,27.5,4
15,12,12.5,1185.8,0.001470256,27.46666667,22.5,0.272727273,8.461538462,8
11,2,0,1295.454545,0.000452694,13.54545455,16.5,0.2,27.5,9
5,-2,0,913.6,0,14.8,7.5,0.090909091,55,13
2,1,0,1424,0.001808727,13,3,0.036363636,6.875,2
2,-9,0,1312,0.001470921,5.5,3,0.036363636,8.461538462,3
14,10,0,1593,0.007085644,7.785714286,15.5,0.145833333,1.391304348,11
13,13,0,1218,0,1.461538462,20.5,0.135416667,96,10
4,-1,0,1392,0.006675567,1.75,5.5,0.041666667,1.476923077,9
6,-7,0,1532,0,3.5,13.5,0.0625,96,2
5,-3,0,1553.8,0.004262531,5.6,9.5,0.052083333,2.313253012,22
8,-2,0,1250.75,0.004262969,1.125,8,0.083333333,2.313253012,0
10,4,0,1280.4,0.004263407,5,16,0.104166667,2.313253012,7
1,-5,19.5,1832,0,7,2.5,0.010416667,96,23
5,-1,0,861,0.007084189,8,11,0.052083333,1.391304348,0
4,-9,0,1543,0.003956021,19,4,0.041666667,2.493506494,4
6,-8,0,601,0.007084916,3.833333333,15,0.0625,1.391304348,0
6,2,1,1543,0.00410973,20,6,0.0625,2.4,4
1,-4,0,1074,0.007083462,4,2.5,0.010416667,1.391304348,0
13,12,1.5,1455.153846,0.003956428,1.230769231,19,0.135416667,2.493506494,10
3,0,0,1805.666667,0.007219629,12.33333333,4.5,0.2,0.22556391,49
3,1,0,1830.333333,0.006677524,34.66666667,4.5,0.2,0.243902439,6
2,-2,0,1468.5,0.006298187,3.5,3,0.133333333,0.25862069,4
4,3,0,903.75,0.005755864,8.75,8,0.266666667,0.283018868,6
1,-1,1,1769,0.001792115,118,1.5,0.066666667,0.909090909,28
2,2,0,1168,0,0.5,3,0.133333333,15,17
3,3,288,1699,0,6.666666667,7.5,0.3,10,16
1,0,306.5,1911,0.008489292,12,2.5,0.1,0.227272727,224
1,0,43,1911,0.086323302,22,2.5,0.1,0.022346369,32
1,0,68,1911,0.105552342,42,2.5,0.1,0.01826484,29
1,0,37,1911,0.105572696,1,2.5,0.1,0.01826484,0
1,0,91,1911,0.113916731,6,2.5,0.1,0.016920474,5
1,-2,167.5,1866,0.002605172,17,2.5,0.1,0.740740741,14
1,0,0,1911,0.095564127,36,2.5,0.1,0.020181635,34
2,2,0,1258,0,3,0,0.5,4,12
1,0,0,1258,0.006468798,3,0,0.25,0.235294118,0
1,-1,0,1258,0.004567948,6,0,0.25,0.333333333,2
3,2,0,1005.666667,0.007944277,2,0,0.2,0.142180095,0
1,-1,4,6,0.007944875,4,0,0.066666667,0.142180095,0
2,-1,2.5,1356,0.007945474,0,0,0.133333333,0.142180095,4
3,1,0,1367.666667,0.007946072,4.666666667,0,0.2,0.142180095,5
2,1,0,1356,0.007570051,6,0,0.133333333,0.149253731,12
3,0,0,1470,0.007943679,5.333333333,0,0.2,0.142180095,8
1,1,0,1242,0,3,0,0.066666667,15,45
5,5,3,439.2,0,3.8,9.5,0.113636364,44,2
6,3,12,582,0,5.5,9,0.136363636,44,2
3,-3,0,831.3333333,0.000157447,1,3,0.068181818,29.33333333,0
3,-2,1.5,409.6666667,0,3.666666667,4.5,0.068181818,44,2
3,-3,10.5,700.6666667,0,0.333333333,5.5,0.068181818,44,0
12,7,1.5,1097.833333,0,8.75,18.5,0.272727273,44,11
5,4,22.5,942.2,0,5.8,9.5,0.113636364,44,1
6,-6,3,1350.5,0.000157464,3.5,10.5,0.136363636,29.33333333,4
1,-2,30,450,0,8,1.5,0.022727273,44,0
1,0,0,1537,0.002163083,4,1.5,0.090909091,0.333333333,22
1,1,387.5,896,0,9,1,0.090909091,11,11
1,0,0,1586,0.00409648,14,1,0.090909091,0.176,4
3,2,16.5,1850,0.004522218,60.66666667,7.5,0.272727273,0.15942029,0
1,0,24.5,1537,0.001376598,10,1.5,0.090909091,0.523809524,8
1,-2,0,1850,0.004521921,9,1,0.090909091,0.15942029,0
3,2,0,1494.666667,0.004521625,11,7.5,0.272727273,0.15942029,8
3,2,0,1884.333333,0.064686469,9.333333333,7.5,0.107142857,0.047619048,4
4,1,69,1754.25,0.054821664,11.25,0,0.142857143,0.0562249,145
3,2,0,1875,0.0548277,11.66666667,5,0.107142857,0.0562249,0
1,0,0,1948,0.013660901,35,2.5,0.035714286,0.225806452,90
1,-1,0,1948,0.054833737,2,1.5,0.035714286,0.0562249,0
2,0,14,1953,0.049058474,20,2.5,0.071428571,0.06285073,36
1,0,0,1687,0.031119189,0,1.5,0.035714286,0.099115044,0
1,-3,6.5,1850,0.055751238,190,2.5,0.035714286,0.055281343,0
1,0,0,1675,0.061227858,24,2.5,0.035714286,0.050314465,15
2,-1,66,1948,0.033370044,32.5,5,0.071428571,0.092409241,80
3,2,0,1640,0.055745102,9.666666667,5.5,0.107142857,0.055281343,16
1,1,0,1687,0,3,2.5,0.035714286,28,83
1,-2,3,1850,0.057114559,10,0,0.035714286,0.053949904,0
3,2,100.5,1726.666667,0.031115762,8.333333333,7.5,0.107142857,0.099115044,92
1,0,0,1740,0.057108275,7,1,0.035714286,0.053949904,17
4,4,5,1166,0,8.75,7,0.307692308,13,5
4,3,0,1358,0,16.25,5.5,0.307692308,13,30
1,-3,0,730,0,3,2.5,0.076923077,13,0
4,0,7.5,1046.75,0,7,10,0.307692308,13,5
1,1,0,647,0,430,2.5,1,1,0
5,5,0,1713,0,3.8,0,0.131578947,38,4
1,-2,0,1713,0.001240284,6,0,0.026315789,2.533333333,1
8,5,12.5,1713,0.002313858,5.75,0,0.210526316,1.357142857,5
3,1,7.5,1713,0.00231405,3,0,0.078947368,1.357142857,2
1,0,0,1713,0.001446879,8,0,0.026315789,2.171428571,3
6,1,0,1713,0.001901141,7.166666667,15,0.157894737,1.652173913,15
5,1,23,1713,0.001901298,4.8,12.5,0.131578947,1.652173913,22
2,-4,5.5,1713,0.001900984,7.5,5,0.052631579,1.652173913,2
3,-2,0,1713,0,4,0,0.078947368,38,30
